Número do processo,UF,Assunto,Sub-assunto,Resultado macro,Resultado micro,Valor da causa,Valor da condenação/indenização
3722527-70.2025.8.03.0334,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"17.783,71","14.938,32"
1376778-85.2025.8.24.7549,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"12.228,03","0,00"
1316755-68.2025.8.17.8296,PE,Não reconhece operação,Genérico,Êxito,Improcedência,"2.421,80","0,00"
3074307-77.2025.8.26.0570,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"8.964,55","0,00"
5775794-36.2025.8.11.0252,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"14.645,15","0,00"
8858410-66.2025.8.08.7307,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"23.668,26","0,00"
1725984-42.2025.8.02.9359,AL,Não reconhece operação,Genérico,Êxito,Extinção,"12.532,75","0,00"
5029902-31.2025.8.05.7679,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"8.583,36","0,00"
7174767-28.2025.8.09.4799,GO,Não reconhece operação,Genérico,Êxito,Improcedência,"12.719,36","0,00"
2863952-40.2025.8.01.9820,AC,Não reconhece operação,Genérico,Êxito,Improcedência,"26.065,07","0,00"
2462862-10.2025.8.16.8848,PR,Não reconhece operação,Golpe,Não Êxito,Procedência,"5.008,06","4.206,77"
2631403-24.2025.8.20.4053,RN,Não reconhece operação,Genérico,Êxito,Improcedência,"17.781,91","0,00"
2319592-60.2025.8.07.0366,DF,Não reconhece operação,Golpe,Não Êxito,Procedência,"13.573,47","11.265,98"
3007005-10.2025.8.19.6157,RJ,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.832,18","7.599,45"
8736640-76.2025.8.18.6696,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"17.095,89","0,00"
5360040-12.2025.8.10.4592,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"18.948,12","0,00"
5019558-65.2025.8.14.6280,PA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"23.852,76","19.559,26"
8153132-53.2025.8.12.2465,MS,Não reconhece operação,Golpe,Êxito,Extinção,"12.546,43","0,00"
2281842-71.2025.8.12.5824,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"17.384,01","0,00"
5211312-34.2025.8.03.6674,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"8.220,16","6.658,33"
7430312-26.2025.8.11.0325,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"17.602,63","12.145,81"
6630611-38.2025.8.21.8675,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"18.956,49","0,00"
3148762-65.2025.8.19.9088,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"15.199,92","0,00"
1474596-83.2025.8.06.1235,CE,Não reconhece operação,Golpe,Êxito,Improcedência,"17.806,85","0,00"
8791410-70.2025.8.03.3753,AP,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"21.299,81","14.483,87"
2295085-64.2025.8.19.7848,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"14.282,94","0,00"
8846444-34.2025.8.13.2578,MG,Não reconhece operação,Genérico,Êxito,Improcedência,"16.360,87","0,00"
9101492-52.2025.8.26.4963,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"9.652,28","0,00"
7981714-80.2025.8.24.8590,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"13.219,46","0,00"
3625153-35.2025.8.19.8540,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"11.208,73","0,00"
5935059-36.2025.8.17.2174,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"10.395,47","0,00"
5704010-52.2025.8.20.8135,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"16.286,78","0,00"
5016196-22.2025.8.09.6476,GO,Não reconhece operação,Genérico,Êxito,Extinção,"20.092,13","0,00"
6005275-87.2025.8.21.3651,RS,Não reconhece operação,Genérico,Êxito,Improcedência,"12.815,73","0,00"
4136987-64.2025.8.01.0340,AC,Não reconhece operação,Golpe,Êxito,Improcedência,"18.604,01","0,00"
7371685-03.2025.8.01.2056,AC,Não reconhece operação,Golpe,Êxito,Extinção,"11.663,37","0,00"
2709592-11.2025.8.04.4580,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,"26.870,41","26.601,71"
4896071-79.2025.8.27.7895,TO,Não reconhece operação,Golpe,Não Êxito,Procedência,"22.927,16","20.634,44"
7294713-26.2025.8.24.6874,SC,Não reconhece operação,Golpe,Êxito,Extinção,"16.249,87","0,00"
5137295-33.2025.8.20.4048,RN,Não reconhece operação,Golpe,Êxito,Extinção,"24.458,39","0,00"
2015542-79.2025.8.14.8545,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"18.171,22","0,00"
5636867-01.2025.8.01.7673,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"15.533,25","12.115,94"
8132908-46.2025.8.15.5783,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"20.668,62","0,00"
5624329-32.2025.8.17.1865,PE,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"11.462,26","6.075,00"
2041351-00.2025.8.15.9916,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"12.896,52","0,00"
6142326-80.2025.8.20.7416,RN,Não reconhece operação,Genérico,Êxito,Improcedência,"18.627,97","0,00"
2849565-65.2025.8.18.5782,PI,Não reconhece operação,Genérico,Êxito,Improcedência,"7.540,67","0,00"
5160955-66.2025.8.22.6518,RO,Não reconhece operação,Golpe,Êxito,Extinção,"18.243,54","0,00"
2833284-96.2025.8.03.9116,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.710,81","13.828,16"
5085972-85.2025.8.15.2191,PB,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"12.420,05","7.700,43"
8337815-96.2025.8.21.2154,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"13.859,71","0,00"
6737646-50.2025.8.04.3409,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"15.974,21","0,00"
5032765-79.2025.8.08.5742,ES,Não reconhece operação,Golpe,Não Êxito,Procedência,"10.152,57","9.441,89"
4569358-05.2025.8.24.2091,SC,Não reconhece operação,Golpe,Êxito,Extinção,"15.399,42","0,00"
5767022-87.2025.8.12.5768,MS,Não reconhece operação,Golpe,Não Êxito,Procedência,"15.164,29","15.012,65"
9396241-95.2025.8.10.2482,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"20.344,70","0,00"
1644996-48.2025.8.11.9861,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"9.172,94","0,00"
8827843-61.2025.8.15.3275,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"18.260,62","0,00"
3007331-92.2025.8.01.4773,AC,Não reconhece operação,Golpe,Êxito,Improcedência,"22.887,41","0,00"
9595561-24.2025.8.14.0021,PA,Não reconhece operação,Golpe,Êxito,Extinção,"16.485,70","0,00"
1450764-63.2025.8.27.1215,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"15.729,76","0,00"
2530693-32.2025.8.06.8800,CE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"3.248,52","1.754,20"
9442242-84.2025.8.27.9693,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"18.360,44","0,00"
3372806-50.2025.8.25.8052,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"23.171,59","10.658,93"
7439168-95.2025.8.13.4516,MG,Não reconhece operação,Genérico,Êxito,Improcedência,"13.504,65","0,00"
7926411-11.2025.8.12.5429,MS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"18.648,80","6.713,57"
4785230-74.2025.8.15.5915,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"23.858,48","0,00"
4366645-29.2025.8.13.6202,MG,Não reconhece operação,Genérico,Êxito,Extinção,"19.289,44","0,00"
9068939-12.2025.8.20.8615,RN,Não reconhece operação,Golpe,Êxito,Extinção,"22.438,45","0,00"
9297976-67.2025.8.08.8678,ES,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"12.485,93","8.115,85"
7244416-22.2025.8.25.0232,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"17.293,72","12.105,60"
8245125-77.2025.8.11.1502,MT,Não reconhece operação,Golpe,Êxito,Extinção,"17.307,82","0,00"
4982330-34.2025.8.26.1755,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"16.444,36","0,00"
7018754-41.2025.8.11.0363,MT,Não reconhece operação,Golpe,Êxito,Extinção,"12.394,43","0,00"
4840024-21.2025.8.17.2381,PE,Não reconhece operação,Golpe,Êxito,Extinção,"15.831,84","0,00"
6742807-11.2025.8.04.5737,AM,Não reconhece operação,Golpe,Êxito,Extinção,"18.197,66","0,00"
9857902-36.2025.8.27.5815,TO,Não reconhece operação,Golpe,Êxito,Extinção,"15.301,33","0,00"
5486332-48.2025.8.02.9944,AL,Não reconhece operação,Golpe,Êxito,Extinção,"16.565,49","0,00"
4988037-35.2025.8.08.0130,ES,Não reconhece operação,Golpe,Não Êxito,Procedência,"14.592,09","13.278,80"
4418066-67.2025.8.06.2600,CE,Não reconhece operação,Golpe,Êxito,Improcedência,"17.174,71","0,00"
7038680-31.2025.8.19.1370,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"13.152,96","0,00"
4984554-95.2025.8.03.8794,AP,Não reconhece operação,Genérico,Êxito,Improcedência,"17.397,87","0,00"
6806299-99.2025.8.04.0146,AM,Não reconhece operação,Genérico,Êxito,Improcedência,"16.494,60","0,00"
4485303-60.2025.8.09.3048,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"18.021,59","0,00"
5395427-67.2025.8.15.5635,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"16.199,34","0,00"
9852720-33.2025.8.04.1787,AM,Não reconhece operação,Golpe,Êxito,Improcedência,"18.850,94","0,00"
9400440-80.2025.8.13.4085,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"14.347,12","0,00"
7790734-83.2025.8.20.5075,RN,Não reconhece operação,Genérico,Êxito,Improcedência,"16.110,28","0,00"
4649289-90.2025.8.21.0762,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"20.472,42","0,00"
6925034-71.2025.8.08.2694,ES,Não reconhece operação,Golpe,Êxito,Extinção,"11.912,63","0,00"
7750690-91.2025.8.21.2369,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"17.878,29","10.011,84"
6626873-52.2025.8.09.2443,GO,Não reconhece operação,Genérico,Êxito,Extinção,"8.889,14","0,00"
3175998-31.2025.8.12.6775,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"16.659,38","0,00"
4739870-81.2025.8.18.8577,PI,Não reconhece operação,Genérico,Êxito,Extinção,"19.076,99","0,00"
8127185-09.2025.8.17.1231,PE,Não reconhece operação,Golpe,Não Êxito,Procedência,"18.867,02","16.791,65"
3708605-12.2025.8.21.9645,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"19.749,30","0,00"
8526951-50.2025.8.18.8087,PI,Não reconhece operação,Genérico,Êxito,Improcedência,"17.280,27","0,00"
6788381-20.2025.8.16.4354,PR,Não reconhece operação,Genérico,Êxito,Improcedência,"12.486,65","0,00"
6098801-51.2025.8.27.3553,TO,Não reconhece operação,Genérico,Êxito,Improcedência,"19.830,21","0,00"
1531812-09.2025.8.08.0008,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"14.068,79","0,00"
4472061-25.2025.8.15.0283,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"9.984,05","0,00"
1565381-68.2025.8.17.2532,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"16.275,63","0,00"
8535991-47.2025.8.16.6536,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"12.736,54","0,00"
2351568-89.2025.8.07.1686,DF,Não reconhece operação,Golpe,Não Êxito,Procedência,"11.523,94","11.523,94"
4921664-86.2025.8.07.0695,DF,Não reconhece operação,Genérico,Êxito,Improcedência,"9.711,18","0,00"
1055626-13.2025.8.24.4422,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"12.162,10","0,00"
4961682-61.2025.8.02.1320,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"12.697,83","0,00"
2069596-77.2025.8.15.6152,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"19.397,65","0,00"
2740108-71.2025.8.20.0999,RN,Não reconhece operação,Golpe,Êxito,Extinção,"6.651,82","0,00"
3577191-62.2025.8.07.8018,DF,Não reconhece operação,Genérico,Êxito,Extinção,"17.653,69","0,00"
4464952-67.2025.8.18.8683,PI,Não reconhece operação,Golpe,Êxito,Extinção,"11.772,49","0,00"
2951598-04.2025.8.08.9376,ES,Não reconhece operação,Golpe,Êxito,Extinção,"19.229,57","0,00"
7024353-54.2025.8.20.1369,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"16.699,30","0,00"
6494520-45.2025.8.09.7752,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"18.157,72","0,00"
8129173-61.2025.8.18.9331,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.794,58","8.876,75"
3795820-10.2025.8.03.8055,AP,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"10.199,58","8.567,65"
6405464-55.2025.8.04.9655,AM,Não reconhece operação,Golpe,Não Êxito,Procedência,"24.131,32","19.305,06"
7640283-04.2025.8.20.4937,RN,Não reconhece operação,Golpe,Não Êxito,Procedência,"7.928,81","6.977,35"
1967275-29.2025.8.03.6458,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"10.870,96","0,00"
5855330-12.2025.8.16.2123,PR,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"24.488,29","9.305,55"
9630336-05.2025.8.10.6409,MA,Não reconhece operação,Genérico,Êxito,Improcedência,"13.884,87","0,00"
7248992-12.2025.8.12.3219,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"21.332,62","0,00"
4242618-23.2025.8.07.6515,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.726,76","14.094,20"
7033118-67.2025.8.20.9742,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"19.159,22","0,00"
5423098-52.2025.8.11.8144,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"20.228,09","0,00"
8781187-61.2025.8.18.4541,PI,Não reconhece operação,Golpe,Êxito,Improcedência,"21.968,88","0,00"
3703338-02.2025.8.19.9057,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"10.723,98","0,00"
2033618-28.2025.8.24.2610,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"20.404,44","0,00"
1849161-90.2025.8.12.3630,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"14.791,29","0,00"
6738932-47.2025.8.08.7865,ES,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"16.855,74","6.910,85"
5633900-56.2025.8.12.0766,MS,Não reconhece operação,Golpe,Êxito,Extinção,"18.066,43","0,00"
4590277-68.2025.8.19.4012,RJ,Não reconhece operação,Golpe,Êxito,Extinção,"5.825,75","0,00"
3317152-55.2025.8.05.6340,BA,Não reconhece operação,Genérico,Êxito,Improcedência,"24.416,28","0,00"
9106998-07.2025.8.12.7079,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"16.556,73","0,00"
2797821-48.2025.8.14.8278,PA,Não reconhece operação,Genérico,Êxito,Improcedência,"13.116,98","0,00"
1411902-73.2025.8.09.3728,GO,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.760,57","17.023,67"
5121549-58.2025.8.05.5366,BA,Não reconhece operação,Golpe,Êxito,Extinção,"5.836,39","0,00"
3372351-49.2025.8.12.0091,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"7.836,20","0,00"
1139694-42.2025.8.10.0803,MA,Não reconhece operação,Golpe,Êxito,Extinção,"13.995,76","0,00"
2229984-20.2025.8.16.7741,PR,Não reconhece operação,Golpe,Êxito,Extinção,"13.577,98","0,00"
9436165-29.2025.8.04.1607,AM,Não reconhece operação,Golpe,Êxito,Extinção,"16.845,47","0,00"
2919077-78.2025.8.13.7434,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"7.795,15","5.144,80"
1448968-11.2025.8.20.2860,RN,Não reconhece operação,Golpe,Êxito,Extinção,"16.033,98","0,00"
9770839-56.2025.8.20.4013,RN,Não reconhece operação,Golpe,Êxito,Extinção,"20.025,05","0,00"
6169675-57.2025.8.19.6338,RJ,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"10.652,99","3.835,08"
4058671-10.2025.8.03.3788,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"10.975,64","0,00"
5505102-44.2025.8.12.3980,MS,Não reconhece operação,Golpe,Êxito,Extinção,"16.294,78","0,00"
4609198-33.2025.8.18.2189,PI,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"11.892,17","6.659,62"
9548945-60.2025.8.17.8440,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"15.842,84","0,00"
2705099-31.2025.8.20.7320,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"14.008,10","0,00"
2880893-57.2025.8.25.8167,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"9.846,98","0,00"
6055549-42.2025.8.17.4975,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"21.274,53","16.806,88"
1583650-60.2025.8.15.6586,PB,Não reconhece operação,Golpe,Êxito,Extinção,"13.493,08","0,00"
8720560-71.2025.8.05.5991,BA,Não reconhece operação,Genérico,Êxito,Extinção,"10.268,16","0,00"
9246228-87.2025.8.16.2414,PR,Não reconhece operação,Genérico,Êxito,Extinção,"13.399,28","0,00"
4194194-80.2025.8.02.4809,AL,Não reconhece operação,Golpe,Não Êxito,Acordo,"23.116,33","5.085,59"
9794422-40.2025.8.08.4502,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"16.013,62","0,00"
7274919-66.2025.8.16.2302,PR,Não reconhece operação,Genérico,Êxito,Improcedência,"7.907,08","0,00"
8596006-59.2025.8.17.0140,PE,Não reconhece operação,Golpe,Êxito,Extinção,"12.835,95","0,00"
6436602-06.2025.8.07.7572,DF,Não reconhece operação,Golpe,Êxito,Extinção,"15.088,47","0,00"
4765510-56.2025.8.02.4295,AL,Não reconhece operação,Golpe,Êxito,Improcedência,"15.906,72","0,00"
9643258-26.2025.8.24.8937,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"9.811,62","0,00"
6673118-72.2025.8.08.6540,ES,Não reconhece operação,Golpe,Êxito,Improcedência,"7.750,55","0,00"
8559568-30.2025.8.01.6309,AC,Não reconhece operação,Genérico,Êxito,Improcedência,"17.556,67","0,00"
5087393-27.2025.8.09.5847,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"15.939,65","0,00"
1380256-54.2025.8.07.0761,DF,Não reconhece operação,Golpe,Êxito,Improcedência,"16.763,06","0,00"
9277827-81.2025.8.25.1043,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"15.951,28","0,00"
7437377-78.2025.8.15.2865,PB,Não reconhece operação,Genérico,Êxito,Extinção,"6.387,30","0,00"
7100981-97.2025.8.16.7400,PR,Não reconhece operação,Golpe,Êxito,Improcedência,"19.115,54","0,00"
1826852-95.2025.8.14.3369,PA,Não reconhece operação,Golpe,Êxito,Improcedência,"19.715,92","0,00"
1662094-28.2025.8.11.2280,MT,Não reconhece operação,Golpe,Êxito,Improcedência,"19.475,09","0,00"
6997492-42.2025.8.20.6003,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"11.034,08","0,00"
8818363-60.2025.8.05.5288,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"16.367,79","0,00"
5671456-83.2025.8.08.0163,ES,Não reconhece operação,Genérico,Êxito,Extinção,"18.854,73","0,00"
8670598-50.2025.8.12.6550,MS,Não reconhece operação,Golpe,Êxito,Improcedência,"15.111,28","0,00"
5208591-82.2025.8.25.8778,SE,Não reconhece operação,Golpe,Êxito,Extinção,"6.366,52","0,00"
8457909-74.2025.8.26.7820,SP,Não reconhece operação,Golpe,Êxito,Improcedência,"17.317,70","0,00"
4513512-79.2025.8.05.5711,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"2.978,87","0,00"
8622728-78.2025.8.09.1699,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"16.699,08","0,00"
5863479-74.2025.8.08.4857,ES,Não reconhece operação,Genérico,Êxito,Improcedência,"1.763,82","0,00"
9870389-95.2025.8.13.2265,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"15.479,43","0,00"
9622935-74.2025.8.13.2134,MG,Não reconhece operação,Golpe,Êxito,Improcedência,"15.180,16","0,00"
7889295-64.2025.8.05.8211,BA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"19.261,13","13.097,57"
1703528-03.2025.8.05.1130,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"14.866,38","0,00"
8427065-71.2025.8.15.6229,PB,Não reconhece operação,Golpe,Êxito,Improcedência,"16.446,28","0,00"
1682922-78.2025.8.25.3379,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"13.139,62","0,00"
7519178-53.2025.8.19.5641,RJ,Não reconhece operação,Golpe,Êxito,Improcedência,"17.944,08","0,00"
3212475-43.2025.8.19.5762,RJ,Não reconhece operação,Genérico,Êxito,Extinção,"20.610,76","0,00"
3666591-25.2025.8.06.9483,CE,Não reconhece operação,Genérico,Êxito,Extinção,"17.843,41","0,00"
3491040-15.2025.8.02.3989,AL,Não reconhece operação,Genérico,Êxito,Improcedência,"23.475,21","0,00"
4390164-03.2025.8.06.4416,CE,Não reconhece operação,Golpe,Não Êxito,Procedência,"9.337,26","7.563,18"
3993197-35.2025.8.25.3491,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.387,65","6.827,70"
1512801-11.2025.8.10.6088,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.650,67","10.108,96"
5818071-45.2025.8.02.3529,AL,Não reconhece operação,Genérico,Êxito,Extinção,"12.073,35","0,00"
3672241-60.2025.8.19.2815,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,"18.955,15","17.817,84"
1839492-27.2025.8.13.7000,MG,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"22.104,31","13.262,59"
8600044-49.2025.8.09.7219,GO,Não reconhece operação,Golpe,Êxito,Extinção,"15.526,04","0,00"
9931891-96.2025.8.03.7295,AP,Não reconhece operação,Golpe,Êxito,Improcedência,"9.720,39","0,00"
2222052-96.2025.8.05.4752,BA,Não reconhece operação,Genérico,Êxito,Extinção,"16.051,26","0,00"
4239056-22.2025.8.24.3073,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"11.381,12","0,00"
5878457-22.2025.8.10.0680,MA,Não reconhece operação,Golpe,Êxito,Improcedência,"11.957,00","0,00"
9135479-68.2025.8.19.3724,RJ,Não reconhece operação,Genérico,Êxito,Improcedência,"19.627,62","0,00"
2574560-65.2025.8.17.5807,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"15.229,10","0,00"
5223171-40.2025.8.21.7191,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"15.733,22","0,00"
6427908-27.2025.8.21.3130,RS,Não reconhece operação,Golpe,Êxito,Extinção,"13.462,43","0,00"
5568982-69.2025.8.25.3379,SE,Não reconhece operação,Golpe,Êxito,Improcedência,"13.553,19","0,00"
5648740-20.2025.8.19.7602,RJ,Não reconhece operação,Golpe,Não Êxito,Procedência,"18.114,10","16.302,69"
2685486-61.2025.8.13.1711,MG,Não reconhece operação,Golpe,Êxito,Extinção,"12.349,94","0,00"
6994222-17.2025.8.08.7679,ES,Não reconhece operação,Genérico,Não Êxito,Parcial procedência,"22.474,82","17.080,86"
1477557-08.2025.8.10.6494,MA,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.117,57","5.647,03"
6508637-31.2025.8.22.2856,RO,Não reconhece operação,Genérico,Êxito,Improcedência,"6.824,98","0,00"
8032552-77.2025.8.08.9723,ES,Não reconhece operação,Golpe,Êxito,Extinção,"7.925,56","0,00"
1922946-29.2025.8.04.7327,AM,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"10.203,21","9.080,86"
3964089-13.2025.8.03.3599,AP,Não reconhece operação,Genérico,Êxito,Improcedência,"19.988,16","0,00"
3915517-67.2025.8.12.2220,MS,Não reconhece operação,Genérico,Êxito,Improcedência,"16.838,61","0,00"
4094213-68.2025.8.01.4047,AC,Não reconhece operação,Genérico,Êxito,Extinção,"12.188,03","0,00"
7178252-66.2025.8.17.0881,PE,Não reconhece operação,Golpe,Êxito,Extinção,"15.106,13","0,00"
7922377-80.2025.8.09.0050,GO,Não reconhece operação,Genérico,Êxito,Improcedência,"21.537,49","0,00"
7524782-46.2025.8.25.7500,SE,Não reconhece operação,Genérico,Êxito,Extinção,"10.571,60","0,00"
5359248-05.2025.8.21.9335,RS,Não reconhece operação,Golpe,Êxito,Improcedência,"14.598,19","0,00"
8884676-39.2025.8.09.4872,GO,Não reconhece operação,Golpe,Êxito,Improcedência,"12.161,64","0,00"
5692262-70.2025.8.19.0484,RJ,Não reconhece operação,Genérico,Êxito,Extinção,"16.467,56","0,00"
1617646-33.2025.8.24.4286,SC,Não reconhece operação,Golpe,Êxito,Extinção,"12.268,02","0,00"
4533297-95.2025.8.17.0589,PE,Não reconhece operação,Golpe,Êxito,Improcedência,"9.061,14","0,00"
2306304-68.2025.8.24.7091,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"14.036,24","0,00"
9279363-76.2025.8.21.0541,RS,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"13.394,81","7.902,94"
3702879-76.2025.8.22.7230,RO,Não reconhece operação,Golpe,Êxito,Improcedência,"23.922,14","0,00"
5988103-81.2025.8.25.8247,SE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.989,42","7.556,19"
3815499-18.2025.8.20.2310,RN,Não reconhece operação,Genérico,Êxito,Improcedência,"16.112,68","0,00"
5528981-65.2025.8.27.0004,TO,Não reconhece operação,Golpe,Êxito,Improcedência,"14.112,51","0,00"
3242941-43.2025.8.01.7576,AC,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"16.837,33","13.974,98"
8293792-01.2025.8.18.8627,PI,Não reconhece operação,Genérico,Êxito,Extinção,"18.547,09","0,00"
2235726-01.2025.8.11.1266,MT,Não reconhece operação,Golpe,Êxito,Extinção,"18.681,41","0,00"
8784356-35.2025.8.11.1037,MT,Não reconhece operação,Genérico,Êxito,Improcedência,"21.371,71","0,00"
3269529-05.2025.8.05.9934,BA,Não reconhece operação,Golpe,Êxito,Improcedência,"20.893,31","0,00"
3097317-85.2025.8.05.5782,BA,Não reconhece operação,Genérico,Êxito,Improcedência,"13.141,80","0,00"
3031837-37.2025.8.24.6034,SC,Não reconhece operação,Golpe,Êxito,Improcedência,"6.256,04","0,00"
3287681-02.2025.8.20.8336,RN,Não reconhece operação,Golpe,Êxito,Improcedência,"21.529,22","0,00"
7804462-43.2025.8.07.8081,DF,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"20.417,09","11.025,23"
3622317-08.2025.8.11.3634,MT,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"8.151,01","5.298,16"
5977699-45.2025.8.13.9510,MG,Não reconhece operação,Genérico,Êxito,Extinção,"20.095,69","0,00"
7464267-77.2025.8.17.1714,PE,Não reconhece operação,Golpe,Não Êxito,Parcial procedência,"14.513,78","11.030,47"
9123704-25.2025.8.03.1009,AP,Não reconhece operação,Golpe,Não Êxito,Procedência,"18.508,04","18.137,88"
9120487-80.2025.8.09.4909,GO,Não reconhece operação,Genérico,Êxito,Extinção,"10.402,25","0,00"
